id,year,part,main,sub,points,theme,ask,keywords,type,cluster,difficulty,importance,textbook,heading,related,memo,pdf_page,internal_page,source,question_page,problem_pdf_page,answer_pdf_page,problem_path,textbook_path,answer_path,official_exam_url
H21-Q1(2),H21,第Ⅰ部,問題1,(2),?,重大疾病保障保険の商品設計・予定発生率,説明,重大疾病／客観的診断／データ十分性／逆選択／予定発生率,知識型,医療保険,3,A,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点,7.3 医療保険の代表的保障内容,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.3 医療保険の代表的保障内容,20,7-16,H21G.pdf,p.1,1,6,exams/H21G.pdf#page=1,textbooks/hoken1-seiho_07.pdf#page=20,exams/H21G.pdf#page=6,
H21-Q1(3),H21,第Ⅰ部,問題1,(3),?,終身保険の商品毎収益検証・利源分解,計算,当期利益／費差益／死差益／利差益／責任準備金繰入差額,計算型,商品毎収益検証,5,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン,10.10 モデルの構築,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.10 モデルの構築,54,10-48,H21G.pdf,p.2,2,6,exams/H21G.pdf#page=2,textbooks/hoken1-seiho_10.pdf#page=54,exams/H21G.pdf#page=6,
H21-Q1(4),H21,第Ⅰ部,問題1,(4),?,団体生命保険の配当率算定,説明・算式,配当率／団体規模／死差益／死差損／剰余金に対する費用,計算型,団体生命保険,4,S,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.7 配当,6.6.3 経験料率／6.6.4 経験体割引,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.6.3 経験料率／6.6.4 経験体割引,26,6-22,H21G.pdf,p.3,3,7,exams/H21G.pdf#page=3,textbooks/hoken1-seiho_06.pdf#page=26,exams/H21G.pdf#page=7,
H21-Q2(1),H21,第Ⅰ部,問題2,(1),10,第三分野保険の基礎率変更権行使基準,説明,基礎率変更権／予定発生率／実績発生率／監督指針／契約者保護,知識型,医療保険,3,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.6.1 基礎率変更権の設定について,7.6.2 基礎率変更権を行使する認可申請の取扱い,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.6.2 基礎率変更権を行使する認可申請の取扱い,36,7-32,H21G.pdf,p.4,4,8,exams/H21G.pdf#page=4,textbooks/hoken1-seiho_07.pdf#page=36,exams/H21G.pdf#page=8,
H21-Q2(2),H21,第Ⅰ部,問題2,(2),10,個人保険の解約返戻金設定時の考慮事項,説明,健全性／公平性／効率性／契約者の期待／解約控除／責任準備金,知識型,解約返戻金,3,A,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.4 解約返戻金に関する視点,2.3 解約控除の理由,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.3 解約控除の理由,20,2-14,H21G.pdf,p.4,4,8,exams/H21G.pdf#page=4,textbooks/hoken1-seiho_02.pdf#page=20,exams/H21G.pdf#page=8,
H21-Q2(3),H21,第Ⅰ部,問題2,(3),10,商品毎収益検証における解約率設定,説明,解約率／経過年数／経済動向／加入年齢／加入目的／保険金額／特別条件・優良体,知識型,商品毎収益検証,4,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.6.1 解約率に影響する要因,10.6.2 解約率の特性,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.6.2 解約率の特性,33,10-27,H21G.pdf,p.4,4,9,exams/H21G.pdf#page=4,textbooks/hoken1-seiho_10.pdf#page=33,exams/H21G.pdf#page=9,
H21-Q3(1),H21,第Ⅱ部,問題3,(1),40,普通死亡保険の予定死亡率設定,所見論述,生保標準生命表／死亡率改善／経験データ／安全性／配当タイプ,所見型,営業保険料・基礎率,5,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.4.1 予定死亡率・予定給付発生率等,1.2.1 十分性,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.2.1 十分性,9,1-7,H21G.pdf,p.5,5,11,exams/H21G.pdf#page=5,textbooks/hoken1-seiho_01.pdf#page=9,exams/H21G.pdf#page=11,
H21-Q3(2),H21,第Ⅱ部,問題3,(2),40,医療保険のプライシングと商品毎収益検証,所見論述,医療保険／予定発生率／商品毎収益検証／シナリオ／リスク管理,所見型,医療保険・商品毎収益検証,5,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4 医療保険の保険料計算,10.10 モデルの構築／7.5 医療保険の責任準備金等,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.10 モデルの構築／7.5 医療保険の責任準備金等,17,7-13,H21G.pdf,p.5,5,16,exams/H21G.pdf#page=5,textbooks/hoken1-seiho_07.pdf#page=17,exams/H21G.pdf#page=16,
H22-Q1(1),H22,第Ⅰ部,問題1,(1),5,資産留保型修正共同保険式再保険,語句記入,再保険貸／資産留保／新契約費支出／非伝統的再保険,知識型,再保険,3,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.3.3 修正共同保険式再保険,8.2.4 伝統的再保険・非伝統的再保険,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.2.4 伝統的再保険・非伝統的再保険,25,8-21,H22G.pdf,p.1,1,7,exams/H22G.pdf#page=1,textbooks/hoken1-seiho_08.pdf#page=25,exams/H22G.pdf#page=7,
H22-Q1(2),H22,第Ⅰ部,問題1,(2),5,団体保険の商品審査上の留意点,語句記入,最低被保険者数／最高保険金額倍数／退職者／保険料／配当方式,知識型,団体生命保険,3,A,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.9 監督指針関係,6.3 団体生命保険の危険選択／6.5 団体保険の種類,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.3 団体生命保険の危険選択／6.5 団体保険の種類,29,6-25,H22G.pdf,p.1,1,7,exams/H22G.pdf#page=1,textbooks/hoken1-seiho_06.pdf#page=29,exams/H22G.pdf#page=7,
H22-Q1(3),H22,第Ⅰ部,問題1,(3),5,ディスインターミディエーション,説明,金利上昇／契約者貸付／解約／資金流出／伝統的終身保険,知識型,解約返戻金・金利リスク,3,A,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.7.3 米国生命保険会社のディスインターミディエーション,2.7.4 流動性に対するリスク管理,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.7.4 流動性に対するリスク管理,40,2-34,H22G.pdf,p.2,2,7,exams/H22G.pdf#page=2,textbooks/hoken1-seiho_02.pdf#page=40,exams/H22G.pdf#page=7,
H22-Q1(4),H22,第Ⅰ部,問題1,(4),5,保険商品の価格弾力性,計算・説明,需要関数／価格弾力性／保障性商品／貯蓄性商品,計算型,営業保険料・商品性,4,A,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ ［付録1］生保商品の価格弾力性,1.2.3 価格競争力,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.2.3 価格競争力,30,1-28,H22G.pdf,p.2,2,7,exams/H22G.pdf#page=2,textbooks/hoken1-seiho_01.pdf#page=30,exams/H22G.pdf#page=7,
H22-Q2(1),H22,第Ⅰ部,問題2,(1),10,保険料細分化の公平性と留意点,説明,保険技術的公平性／社会的公平性／同質性／測定可能性,知識型,料率細分化,3,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.5.1 理念としての公平性原則,1.5.2 保険技術的公平性と社会的公平性／1.5.3 料率区分の留意点,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.5.2 保険技術的公平性と社会的公平性／1.5.3 料率区分の留意点,23,1-21,H22G.pdf,p.3,3,8,exams/H22G.pdf#page=3,textbooks/hoken1-seiho_01.pdf#page=23,exams/H22G.pdf#page=8,
H22-Q2(2),H22,第Ⅰ部,問題2,(2),10,負値責任準備金が生じる場合と留意点,説明,平準純保険料式／第三分野／責任準備金負値／商品設計,複合型,営業保険料・責任準備金,4,A,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.2.3 その他 ＞ 標準責任準備金制度との関係,1.4.5 計算基礎率設定に影響する商品性,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.4.5 計算基礎率設定に影響する商品性,5,1-3,H22G.pdf,p.3,3,9,exams/H22G.pdf#page=3,textbooks/hoken1-seiho_01.pdf#page=5,exams/H22G.pdf#page=9,
H22-Q2(3),H22,第Ⅰ部,問題2,(3),10,商品毎収益検証とアセット・シェア,計算・説明,利益／アセット・シェア／モデル／パラメータ,計算型,商品毎収益検証,4,A,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.9.4 アセット・シェアと責任準備金の場合,第3章 アセット・シェア／10.10 モデルの構築,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：第3章 アセット・シェア／10.10 モデルの構築,57,10-51,H22G.pdf,p.3,3,10,exams/H22G.pdf#page=3,textbooks/hoken1-seiho_10.pdf#page=57,exams/H22G.pdf#page=10,
H22-Q2(4),H22,第Ⅰ部,問題2,(4),10,低解約返戻金型商品の商品設計,説明,低解約返戻金／責任準備金／解約控除／契約者理解,複合型,解約返戻金,4,S,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.5.2 低・無解約返戻金型商品,2.8.2 低・無解約返戻金型商品の議論,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.8.2 低・無解約返戻金型商品の議論,27,2-21,H22G.pdf,p.4,4,10,exams/H22G.pdf#page=4,textbooks/hoken1-seiho_02.pdf#page=27,exams/H22G.pdf#page=10,
H22-Q3(1),H22,第Ⅱ部,問題3,(1),40,終身保険の予定利率設定,所見論述,予定利率／低金利／健全性／商品競争力／ALM,所見型,営業保険料・基礎率,5,S,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.4.3 予定利率,10.5 金利のシナリオ設定,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.5 金利のシナリオ設定,13,1-11,H22G.pdf,p.6,6,11,exams/H22G.pdf#page=6,textbooks/hoken1-seiho_01.pdf#page=13,exams/H22G.pdf#page=11,
H22-Q3(2),H22,第Ⅱ部,問題3,(2),40,医療保険の商品毎収益分析,所見論述,医療保険／商品特性／発生率／解約率／ストレステスト,所見型,医療保険・商品毎収益検証,5,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.10.1 モデルの選定,7.4 医療保険の保険料計算,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.4 医療保険の保険料計算,58,10-52,H22G.pdf,p.6,6,16,exams/H22G.pdf#page=6,textbooks/hoken1-seiho_10.pdf#page=58,exams/H22G.pdf#page=16,
H23-Q1(1),H23,第Ⅰ部,問題1,(1),?,RSLN2による株価収益率モデル,計算,局面転換対数正規モデル／定常確率／シミュレーション／特別勘定,計算型,変額年金・リスク評価,4,A,hoken1-seiho_05.pdf,第5章 変額年金保険 ＞ 5.3.1 CTEアプローチ,5.3.2 リスク調整済み期待値アプローチ,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：5.3.2 リスク調整済み期待値アプローチ,15,5-11,H23G.pdf,p.1,1,9,exams/H23G.pdf#page=1,textbooks/hoken1-seiho_05.pdf#page=15,exams/H23G.pdf#page=9,
H23-Q1(2),H23,第Ⅰ部,問題1,(2),?,年齢・性別によらない一律危険発生率,説明,一律料率／危険発生率／公平性／逆選択／許容条件,知識型,料率細分化,3,A,hoken1-seiho_01.pdf,第1章 営業保険料 ＞ 1.5.3 保険料率の区分にあたって留意すべき事項,1.5.1 理念としての公平性原則,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：1.5.1 理念としての公平性原則,26,1-24,H23G.pdf,p.2,2,10,exams/H23G.pdf#page=2,textbooks/hoken1-seiho_01.pdf#page=26,exams/H23G.pdf#page=10,
H23-Q1(3),H23,第Ⅰ部,問題1,(3),?,就業不能所得補償保険の退職者給付制限,説明,就業不能所得補償／退職者／給付期間／モラルリスク,知識型,医療保険,3,B,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.5.4 団体就業不能（所得補償）保険,7.3 医療保険の代表的保障内容,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.3 医療保険の代表的保障内容,16,6-12,H23G.pdf,p.2,2,10,exams/H23G.pdf#page=2,textbooks/hoken1-seiho_06.pdf#page=16,exams/H23G.pdf#page=10,
H23-Q1(4),H23,第Ⅰ部,問題1,(4),?,定期保険のプロフィット・マージン,計算・グラフ選択,プロフィット・マージン／解約率／死亡率／責任準備金,計算型,商品毎収益検証,5,S,hoken1-seiho_10.pdf,第10章 商品毎収益検証 ＞ 10.9.1 プロフィット・マージン,10.9.2 投資回収年度,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：10.9.2 投資回収年度,54,10-48,H23G.pdf,p.3,3,10,exams/H23G.pdf#page=3,textbooks/hoken1-seiho_10.pdf#page=54,exams/H23G.pdf#page=10,
H23-Q2(1),H23,第Ⅰ部,問題2,(1),10,新設保険会社における共同保険式再保険,説明,共同保険式再保険／新契約費／出再保険受入手数料／資本効率,複合型,再保険,4,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.3.2 共同保険式再保険,8.1.2 再保険の目的,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.1.2 再保険の目的,22,8-18,H23G.pdf,p.6,6,12,exams/H23G.pdf#page=6,textbooks/hoken1-seiho_08.pdf#page=22,exams/H23G.pdf#page=12,
H23-Q2(2),H23,第Ⅰ部,問題2,(2),10,変額年金保険の経済価値ヘッジと会計価値ヘッジ,説明,経済価値ヘッジ／会計価値ヘッジ／責任準備金／最低保証／デリバティブ／会計ミスマッチ,知識型,変額年金,3,S,hoken1-seiho_05.pdf,第5章 変額年金保険 ＞ 5.5.1 経済価値のヘッジ ＞ 5.5.2 会計価値のヘッジ,5.5.3 テイルリスクのヘッジ,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：5.5.3 テイルリスクのヘッジ,34,5-30,H23G.pdf,p.6,6,13,exams/H23G.pdf#page=6,textbooks/hoken1-seiho_05.pdf#page=34,exams/H23G.pdf#page=13,
H23-Q2(3),H23,第Ⅰ部,問題2,(3),10,責任準備金額が死亡保険金額を上回る場合の解約返戻金設計,説明,責任準備金＞死亡保険金／解約返戻金＞死亡保険金／トンチン性／契約者間公平性／解約返戻金制限,知識型,解約返戻金,4,A,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.4.1 健全性 ＞ 2.4.2 公平性,2.5 商品開発における留意事項,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.5 商品開発における留意事項,20,2-14,H23G.pdf,p.6,6,13,exams/H23G.pdf#page=6,textbooks/hoken1-seiho_02.pdf#page=20,exams/H23G.pdf#page=13,
H23-Q2(4),H23,第Ⅰ部,問題2,(4),10,団体生命保険の経験料率・無配当団体保険料率設定,説明,経験料率／配当清算法／有配当方式／無配当団体生命保険／将来調整／団体規模,知識型,団体生命保険,4,S,hoken1-seiho_06.pdf,第6章 団体生命保険 ＞ 6.6.3 経験料率,6.7 配当,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：6.7 配当,21,6-17,H23G.pdf,p.6,6,15,exams/H23G.pdf#page=6,textbooks/hoken1-seiho_06.pdf#page=21,exams/H23G.pdf#page=15,
H23-Q3(1),H23,第Ⅱ部,問題3,(1),40,無選択・引受基準緩和型医療保険の開発,所見論述,無選択／緩和型／医療保険／危険選択／予定発生率／モニタリング,所見型,医療保険・危険選択,5,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4.1.4 予定発生率および予定入院日数などの設定の留意点,4.4.4 危険選択（アンダーライティング）,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：4.4.4 危険選択（アンダーライティング）,20,7-16,H23G.pdf,p.7,7,17,exams/H23G.pdf#page=7,textbooks/hoken1-seiho_07.pdf#page=20,exams/H23G.pdf#page=17,
H23-Q3(2),H23,第Ⅱ部,問題3,(2),40,アキュムレーション方式によるプライシング,所見論述,アキュムレーション方式／利益目標／予定利率／アセット・シェア,所見型,アセット・シェア,5,S,hoken1-seiho_03.pdf,第3章 アセット・シェア ＞ 3.3.1 料率設定への活用,3.2 アセット・シェア計算の原理,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：3.2 アセット・シェア計算の原理,25,3-21,H23G.pdf,p.7,7,24,exams/H23G.pdf#page=7,textbooks/hoken1-seiho_03.pdf#page=25,exams/H23G.pdf#page=24,
H24-Q1(1),H24,第Ⅰ部,問題1,(1),5,医療保険の入院発生率・給付日数,計算・説明,入院日数／フランチャイズ方式／粗発生率／粗給付日数／モラルリスク,計算型,医療保険,4,S,hoken1-seiho_07.pdf,第7章 医療保険 ＞ 7.4.1.2 発生率,7.4.1.4 予定発生率および予定入院日数などの設定の留意点,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.4.1.4 予定発生率および予定入院日数などの設定の留意点,18,7-14,H24G.pdf,p.1,1,7,exams/H24G.pdf#page=1,textbooks/hoken1-seiho_07.pdf#page=18,exams/H24G.pdf#page=7,
H24-Q1(2),H24,第Ⅰ部,問題1,(2),5,集積リスク移転を目的とする生命再保険,説明,集積リスク／Cat Cover／エクセスオブロス／証券化,知識型,再保険,3,S,hoken1-seiho_08.pdf,第8章 再保険 ＞ 8.3.4 エクセスオブロス・カバー,8.1.2 再保険の目的／8.3.5 ストップロス・カバー,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：8.1.2 再保険の目的／8.3.5 ストップロス・カバー,28,8-24,H24G.pdf,p.2,2,7,exams/H24G.pdf#page=2,textbooks/hoken1-seiho_08.pdf#page=28,exams/H24G.pdf#page=7,
H24-Q1(3),H24,第Ⅰ部,問題1,(3),5,保険法における保険契約の類型,語句記入,生命保険契約／損害保険契約／傷害疾病定額保険／損害てん補,知識型,法令・基礎書類,3,A,hoken1-seiho_04.pdf,第4章 生命保険の商品開発 ＞ 4.4.10 法令等,7.1.1 保険業法上の医療保険,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：7.1.1 保険業法上の医療保険,54,4-51,H24G.pdf,p.2,2,7,exams/H24G.pdf#page=2,textbooks/hoken1-seiho_04.pdf#page=54,exams/H24G.pdf#page=7,
H24-Q1(4),H24,第Ⅰ部,問題1,(4),5,アセット・シェア計算の活用目的,列挙・説明,保険料率／責任準備金十分性／配当確認／組織変更,知識型,アセット・シェア,2,S,hoken1-seiho_03.pdf,第3章 アセット・シェア ＞ 3.1.2 アセット・シェア計算の目的,3.3 アセット・シェアの活用例,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：3.3 アセット・シェアの活用例,6,3-2,H24G.pdf,p.2,2,7,exams/H24G.pdf#page=2,textbooks/hoken1-seiho_03.pdf#page=6,exams/H24G.pdf#page=7,
H24-Q2(1),H24,第Ⅰ部,問題2,(1),10,金利上昇時の解約返戻金支払と流動性問題,説明,金利上昇／解約増加／流動性リスク／MVA／ALM,複合型,解約返戻金・金利リスク,4,S,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.7.4 流動性に対するリスク管理,2.7.2 ALMの観点からみた解約,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：2.7.2 ALMの観点からみた解約,42,2-36,H24G.pdf,p.3,3,8,exams/H24G.pdf#page=3,textbooks/hoken1-seiho_02.pdf#page=42,exams/H24G.pdf#page=8,
H24-Q2(2),H24,第Ⅰ部,問題2,(2),10,変額年金保険の動的解約モデル,計算・説明,動的解約率／インザマネーネス／最低保証金額／ステップアップ,計算型,変額年金・解約モデル,5,S,hoken1-seiho_02.pdf,第2章 解約および解約返戻金 ＞ 2.6.4 動的解約率前提,第5章 変額年金保険 ＞ 5.2 最低保証リスク,教科書リンクを小問テーマに近い見出しへ寄せ直し。関連：第5章 変額年金保険 ＞ 5.2 最低保証リスク,37,2-31,H24G.pdf,p.3,3,10,exams/H24G.pdf#page=3,textbooks/hoken1-seiho_02.pdf#page=37,exams/H24G.pdf#page=10,
