id,category,title,source,usage,url,section_hint,excerpt
OFF-11,監督指針,IV-1-14 特別勘定又は積立勘定を設ける商品,金融庁,変額年金、特別勘定、最低保証を含む商品の審査観点,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D14%20%E7%89%B9%E5%88%A5%E5%8B%98%E5%AE%9A%E5%8F%88%E3%81%AF%E7%A9%8D%E7%AB%8B%E5%8B%98%E5%AE%9A%E3%82%92%E8%A8%AD%E3%81%91%E3%82%8B%E5%95%86%E5%93%81,IV－1－14 特別勘定又は積立勘定を設ける商品,変額年金・特別勘定・積立勘定を設ける商品、最低保証を含む商品の商品審査上の確認先。
OFF-12,監督指針,IV-1-15 団体保険又は団体契約の取扱い,金融庁,団体及び被保険団体の範囲、被保険団体区分、保険料率設定,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%91%EF%BC%8D15%20%E5%9B%A3%E4%BD%93%E4%BF%9D%E9%99%BA%E5%8F%88%E3%81%AF%E5%9B%A3%E4%BD%93%E5%A5%91%E7%B4%84%E3%81%AE%E5%8F%96%E6%89%B1%E3%81%84,IV－1－15 団体保険又は団体契約の取扱い,団体及び被保険団体の範囲、団体要件、退職者等を含める場合の事務処理能力・保険料収納管理等を確認する箇所。
OFF-13,監督指針,IV-4 第三分野,金融庁,第三分野商品の商品審査、基礎率変更権、契約者保護,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%94%EF%BC%8D%EF%BC%91%20%E5%9F%BA%E7%A4%8E%E7%8E%87%E5%A4%89%E6%9B%B4%E6%A8%A9%E3%81%AE%E8%A8%AD%E5%AE%9A%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6,IV－4 第三分野／基礎率変更権,第三分野保険の基礎率変更権、行使基準、実績発生率指標、契約者説明・情報開示、変更後予定発生率の合理性等を確認する箇所。
OFF-14,監督指針,IV-5-1 保険料,金融庁,保険料・付加保険料・料率区分・割増引制度,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E6%96%99,IV－5－1 保険料,保険料の算出方法について、十分性・公平性等を考慮して合理的かつ妥当か、不当な差別的扱いがないか、予定発生率等が基礎データに基づくかを確認する箇所。
OFF-15,監督指針,IV-5-2 責任準備金,金融庁,責任準備金、標準責任準備金、第三分野ストレステスト,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%92%20%E8%B2%AC%E4%BB%BB%E6%BA%96%E5%82%99%E9%87%91,IV－5－2 責任準備金,責任準備金審査、負値責任準備金、MVAの仕組みを持つ商品の責任準備金、第三分野ストレステスト等の確認先。
OFF-16,監督指針,IV-5-3 契約者価額,金融庁,解約返戻金、契約者価額、MVA、市場価格調整,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%93%20%E5%A5%91%E7%B4%84%E8%80%85%E4%BE%A1%E9%A1%8D,IV－5－3 契約者価額,解約返戻金は支出した事業費・投資上の損失・保険設計上の仕組み等に照らして合理的かつ妥当か、MVA係数はリスク管理や取引費用との整合性から妥当かを確認する箇所。
OFF-17,監督指針,IV-6 審査手続,金融庁,保険商品の認可・届出の審査期間、概要書、数理事項概要書,https://www.fsa.go.jp/common/law/guide/ins/04.html#:~:text=IV%20%EF%BC%8D%EF%BC%96%EF%BC%8D%EF%BC%91%20%E4%BF%9D%E9%99%BA%E5%95%86%E5%93%81%E3%81%AE%E8%AA%8D%E5%8F%AF%E3%83%BB%E5%B1%8A%E5%87%BA%E3%81%AB%E4%BF%82%E3%82%8B%E5%AF%A9%E6%9F%BB%E6%9C%9F%E9%96%93%E3%81%AE%E5%8F%96%E6%89%B1%E3%81%84,IV－6 審査手続,保険商品の認可・届出に係る審査期間、概要書を用いた迅速・効率的な審査、数理事項概要書等の確認先。
OFF-18,法令,保険業法 第3条（免許・引受範囲）,e-Gov法令検索,生命保険業免許、第一分野・第三分野等の引受範囲,https://laws.e-gov.go.jp/law/407AC0000000105#Mp-At_3,保険業法 第3条（免許・引受範囲）,生命保険業免許・損害保険業免許の範囲、第一分野・第三分野の引受範囲を確認する条文。
OFF-19,法令,保険業法 第5条（免許審査基準）,e-Gov法令検索,契約者保護、公序良俗、不当な差別的取扱い等,https://laws.e-gov.go.jp/law/407AC0000000105#Mp-At_5,保険業法 第5条（免許審査基準）,免許審査基準。保険契約者等の保護、公序良俗、不当な差別的取扱い等の観点を確認する条文。
OFF-20,法令,保険業法 第116条（責任準備金）,e-Gov法令検索,責任準備金の積立根拠,https://laws.e-gov.go.jp/law/407AC0000000105#Mp-At_116,保険業法 第116条（責任準備金）,保険会社が保険契約に基づく将来の債務履行に備える責任準備金を積み立てる根拠条文。
OFF-21,法令,保険業法 第300条（保険募集に関する禁止行為）,e-Gov法令検索,特別利益提供、募集上の禁止行為,https://laws.e-gov.go.jp/law/407AC0000000105#Mp-At_300,保険業法 第300条（保険募集に関する禁止行為）,保険募集に関する禁止行為。特別利益の提供、重要事項の不告知・不実告知などの確認先。
OFF-22,法令,保険業法施行令,e-Gov法令検索,保険業法の政令委任事項の確認,https://laws.e-gov.go.jp/law/407CO0000000425,保険業法施行令,保険業法の政令委任事項の確認用。該当条文番号がある場合はe-Gov内検索で確認。
OFF-23,法令,保険業法施行規則 第4条（疾病等に類する事由）,e-Gov法令検索,第三分野の法的位置づけ、介護・骨髄提供等,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_4,保険業法施行規則 第4条（疾病等に類する事由）,疾病等に類する事由。介護を要する身体の状態、骨髄提供等、第三分野の範囲に関する確認先。
OFF-24,法令,保険業法施行規則 第8条（事業方法書の記載事項）,e-Gov法令検索,事業方法書、保険種類、契約締結手続、貸付等,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_8,保険業法施行規則 第8条（事業方法書の記載事項）,事業方法書の記載事項。保険種類、保険金額・保険期間、契約締結手続、保険料収受、保険金等支払、貸付等。
OFF-25,法令,保険業法施行規則 第10条（算出方法書の記載事項）,e-Gov法令検索,保険料、責任準備金、契約者価額、配当、未収保険料等,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_10,保険業法施行規則 第10条（算出方法書の記載事項）,算出方法書の記載事項。保険料、責任準備金、契約者価額、契約者配当、未収保険料、保険金額・保険種類等変更時の計算方法。
OFF-26,法令,保険業法施行規則 第11条（基礎率変更権等）,e-Gov法令検索,第三分野保険の基礎率変更権、認可申請の根拠,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_11,保険業法施行規則 第11条（基礎率変更権等）,基礎率変更権等の算出方法書記載事項・審査基準に関連する条文。第三分野保険の基礎率変更権問題で確認。
OFF-27,法令,保険業法施行規則 第71条 / 大蔵省告示第233号（財務再保険）,e-Gov法令検索・金融庁告示関連,財務再保険、収益認識、預り金処理、修正共同保険式再保険,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_71,保険業法施行規則 第71条／財務再保険,責任準備金を積み立てない保険契約等の取扱い、財務再保険・大蔵省告示第233号に関連する確認先。
OFF-28,法令,保険業法施行規則 第246条（標準処理期間）,e-Gov法令検索,保険商品の認可・届出に係る審査期間,https://laws.e-gov.go.jp/law/408M50000040005#Mp-At_246,保険業法施行規則 第246条（標準処理期間）,保険商品の認可等に係る標準処理期間の確認先。監督指針IV－6とセットで確認。
OFF-29,パブコメ,金融庁 報道発表資料（保険会社関係）,金融庁,監督指針・法令改正・標準生命表関連などの公表資料、パブリックコメント確認,https://www.fsa.go.jp/news/r7/hoken/news_menu_h.html,金融庁 報道発表資料（保険会社関係）,監督指針・法令改正・標準生命表関連などのパブリックコメント・公表資料の入口。個別案件の確認用。
ACT-H20G,過去問原本,平成20年度 生保1（問題）PDF,日本アクチュアリー会,H20年度 生保1の問題原本。問題ページの公式確認用。,https://www.actuaries.jp/lib/collection/books/H20/H20G.pdf,平成20年度 生保1（問題）,平成20年度生保1の問題原本PDF。ビューア内のH20問題PDFと同一内容。
